City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,makakilo city,21.3469,-158.0858,82.72,64,20,13.8,US,1682548518
1,fortuna,40.5982,-124.1573,67.93,69,45,3.0,US,1682548519
2,port lincoln,-34.7333,135.8667,62.78,81,3,19.42,AU,1682548519
3,katsuura,35.1333,140.3,60.85,48,23,15.99,JP,1682548519
4,jamestown,42.097,-79.2353,50.52,45,0,10.36,US,1682547998
5,marapanim,-0.7175,-47.6997,75.85,91,97,2.8,BR,1682548519
6,taganak,6.0833,118.3,78.94,75,100,3.22,PH,1682548520
7,ushuaia,-54.8,-68.3,38.86,81,20,4.61,AR,1682548434
8,ossora,59.2353,163.0719,31.1,62,27,4.72,RU,1682548520
9,nikolskoye,59.7035,30.7861,54.81,79,17,4.32,RU,1682548521
10,upernavik,72.7868,-56.1549,23.34,90,86,15.08,GL,1682548521
11,san bartolome de tirajana,27.9248,-15.5733,59.47,84,20,18.41,ES,1682548521
12,thompson,55.7435,-97.8558,48.36,31,75,10.36,CA,1682548280
13,cidreira,-30.1811,-50.2056,66.51,90,31,7.36,BR,1682548522
14,souillac,-20.5167,57.5167,75.58,94,75,4.61,MU,1682548409
15,mar del plata,-38.0023,-57.5575,66.22,87,0,8.05,AR,1682548523
16,srikakulam,18.3,83.9,79.14,69,18,4.9,IN,1682548523
17,avarua,-21.2078,-159.775,82.45,65,69,6.91,CK,1682548323
18,bathsheba,13.2167,-59.5167,79.41,94,20,6.91,BB,1682548523
19,bredasdorp,-34.5322,20.0403,57.58,84,60,3.87,ZA,1682548234
20,viedma,-40.8135,-62.9967,54.77,83,0,6.22,AR,1682548524
21,airai,-8.9266,125.4092,63.61,91,63,2.21,TL,1682548524
22,gazanjyk,39.2446,55.5154,68.45,65,100,4.65,TM,1682548525
23,albany,42.6001,-73.9662,53.17,70,100,1.01,US,1682548525
24,mataura,-46.1927,168.8643,52.48,70,82,4.16,NZ,1682548525
25,cayenne,4.9333,-52.3333,77.04,94,75,0.0,GF,1682548525
26,kapaa,22.0752,-159.319,82.38,63,0,14.97,US,1682548526
27,lodja,-3.4833,23.4333,71.44,93,91,1.32,CD,1682548526
28,saint-philippe,-21.3585,55.7679,72.99,76,52,6.29,RE,1682548526
29,faanui,-16.4833,-151.75,82.67,74,12,8.3,PF,1682548526
30,utete,-7.986,38.758,72.03,90,99,2.75,TZ,1682548526
31,sept-iles,50.2001,-66.3821,37.06,92,75,4.61,CA,1682548527
32,bluff,-46.6,168.3333,52.81,79,90,12.33,NZ,1682548527
33,busselton,-33.65,115.3333,58.1,82,79,12.59,AU,1682548527
34,paamiut,61.994,-49.6678,33.19,94,100,4.09,GL,1682548528
35,puerto ayora,-0.7393,-90.3518,85.96,86,57,5.01,EC,1682548528
36,lebu,-37.6167,-73.65,55.83,93,100,5.1,CL,1682548529
37,neiafu,-18.65,-173.9833,83.08,78,75,12.66,TO,1682548529
38,carmo do rio verde,-15.3536,-49.7075,72.27,73,18,2.86,BR,1682548529
39,naze,28.3667,129.4833,63.52,60,3,10.69,JP,1682548530
40,saint anthony,45.0205,-93.218,58.1,36,100,11.5,US,1682548530
41,saint-augustin,51.226,-58.6502,42.55,61,97,4.83,CA,1682548530
42,punta arenas,-53.15,-70.9167,46.51,71,0,16.11,CL,1682548527
43,tuktoyaktuk,69.4541,-133.0374,14.0,73,100,16.11,CA,1682548531
44,nanga eboko,4.6833,12.3667,66.67,98,100,0.81,CM,1682548531
45,redlands,34.0556,-117.1825,90.79,32,5,4.0,US,1682548305
46,rikitea,-23.1203,-134.9692,75.51,63,0,2.62,PF,1682548532
47,victoria,22.2855,114.1577,72.32,80,100,13.0,HK,1682548337
48,hambantota,6.1241,81.1185,79.93,84,100,6.13,LK,1682548532
49,vaini,-21.2,-175.2,78.96,83,75,16.11,TO,1682548533
50,katrineholm,58.9959,16.2072,35.04,82,14,6.6,SE,1682548533
51,afyonkarahisar,38.75,30.6667,47.62,84,96,4.29,TR,1682548533
52,geraldton,-28.7667,114.6,52.21,93,54,3.44,AU,1682548286
53,port elizabeth,-33.918,25.5701,69.31,90,0,3.44,ZA,1682548534
54,san cristobal,7.7669,-72.225,77.18,93,57,2.82,VE,1682548534
55,nara,34.6851,135.8049,54.5,59,30,5.37,JP,1682548535
56,college,64.8569,-147.8028,41.09,49,40,5.75,US,1682548535
57,canavieiras,-15.675,-38.9472,74.8,89,3,3.02,BR,1682548536
58,mareeba,-17.0,145.4333,73.44,86,14,4.21,AU,1682548536
59,itarema,-2.9248,-39.9167,78.06,85,45,8.05,BR,1682548536
60,georgetown,5.4112,100.3354,80.53,94,20,3.44,MY,1682548351
61,saskylakh,71.9167,114.0833,15.8,97,99,4.56,RU,1682548537
62,kaitangata,-46.2817,169.8464,54.93,81,38,8.99,NZ,1682548538
63,hofn,64.2539,-15.2082,31.75,62,96,3.44,IS,1682548538
64,hami,42.8,93.45,52.83,28,99,12.44,CN,1682548519
65,pevek,69.7008,170.3133,10.18,94,100,3.42,RU,1682548538
66,vestmannaeyjar,63.4427,-20.2734,38.61,74,100,14.63,IS,1682548539
67,vardo,70.3705,31.1107,37.38,81,100,17.27,NO,1682548539
68,malindi,-3.2175,40.1191,80.73,80,100,15.35,KE,1682548539
69,kodiak,57.79,-152.4072,38.71,87,100,17.27,US,1682548539
70,norman wells,65.282,-126.8329,30.24,51,20,17.27,CA,1682548539
71,morehead,37.2711,-87.1764,69.55,30,40,6.91,US,1682548342
72,husavik,66.0449,-17.3389,28.22,63,37,4.03,IS,1682548540
73,jose de freitas,-4.7564,-42.5756,77.95,80,100,4.79,BR,1682548540
74,shimoda,34.6667,138.95,62.1,70,36,10.96,JP,1682548540
75,hithadhoo,-0.6,73.0833,83.39,75,100,7.0,MV,1682548272
76,rorvik,64.8621,11.2373,35.58,93,40,1.14,NO,1682548540
77,palana,59.1167,159.9667,24.24,75,53,6.67,RU,1682548540
78,namibe,-15.1961,12.1522,76.95,71,77,6.91,AO,1682548540
79,xixiang,35.1628,112.865,61.02,74,0,1.45,CN,1682548541
80,pahrump,36.2083,-115.9839,82.83,10,10,11.01,US,1682548463
81,grindavik,63.8424,-22.4338,34.27,100,100,21.85,IS,1682548541
82,vana-vigala,58.7806,24.2522,42.73,95,100,4.16,EE,1682548541
83,hermanus,-34.4187,19.2345,52.81,77,30,3.36,ZA,1682548541
84,barrow,71.2906,-156.7887,3.22,78,100,6.91,US,1682548542
85,sao jose do rio pardo,-21.5956,-46.8886,65.52,95,99,3.06,BR,1682548542
86,yulara,-25.2406,130.9889,67.03,47,66,8.48,AU,1682548542
87,brigantine,39.4101,-74.3646,58.01,53,0,13.8,US,1682548542
88,altay,47.8667,88.1167,36.9,55,4,7.85,CN,1682548543
89,cape town,-33.9258,18.4232,63.37,84,0,8.05,ZA,1682548502
90,dauriya,49.9333,116.8667,41.63,28,100,15.73,RU,1682548396
91,skibbereen,51.55,-9.2667,51.12,97,100,9.22,IE,1682548543
92,port alfred,-33.5906,26.891,72.19,76,85,6.91,ZA,1682548543
93,atuona,-9.8,-139.0333,81.03,74,0,16.58,PF,1682548543
94,goundam,16.4145,-3.6708,83.73,9,11,8.05,ML,1682548543
95,kilindoni,-7.9139,39.6668,80.89,76,94,18.32,TZ,1682548544
96,red bluff,40.1785,-122.2358,91.53,12,0,3.44,US,1682548544
97,rabo de peixe,37.8,-25.5833,62.11,94,20,12.66,PT,1682548544
98,qaqortoq,60.7167,-46.0333,33.78,87,82,2.24,GL,1682548544
99,grand gaube,-20.0064,57.6608,75.6,84,7,3.0,MU,1682548544
100,tiksi,71.6872,128.8694,12.9,86,37,1.39,RU,1682548544
101,atar,20.5169,-13.0499,91.72,19,0,2.55,MR,1682548545
102,mahebourg,-20.4081,57.7,75.49,94,75,4.61,MU,1682548545
103,srednekolymsk,67.45,153.6833,29.3,84,100,4.34,RU,1682548545
104,flinders,-34.5833,150.8552,68.38,79,100,5.99,AU,1682548545
105,vila velha,-20.3297,-40.2925,76.95,92,75,6.91,BR,1682548545
106,verkhnevilyuysk,63.4453,120.3167,30.31,89,100,6.51,RU,1682548545
107,adre,13.4667,22.2,81.28,34,55,7.23,TD,1682548545
108,guerrero negro,27.9769,-114.0611,65.16,62,0,16.96,MX,1682548338
109,butaritari,3.0707,172.7902,82.9,76,30,15.97,KI,1682548546
110,severo-kurilsk,50.6789,156.125,36.97,66,97,14.65,RU,1682548342
111,arraial do cabo,-22.9661,-42.0278,76.96,83,0,12.66,BR,1682548546
112,kuala terengganu,5.3302,103.1408,78.75,94,20,3.44,MY,1682548546
113,monrovia,6.3005,-10.7969,80.37,77,100,7.9,LR,1682548501
114,esperance,-33.8667,121.9,59.5,76,0,21.23,AU,1682548547
115,yantal,56.8471,105.2542,30.97,94,100,4.83,RU,1682548547
116,ternate,0.8,127.4,81.54,81,53,5.68,ID,1682548547
117,hay river,60.8156,-115.7999,39.16,69,20,8.05,CA,1682548547
118,hammerfest,70.6634,23.6821,36.05,69,75,14.97,NO,1682548301
119,stettler,52.3168,-112.7186,57.74,45,100,8.5,CA,1682548547
120,mount isa,-20.7333,139.5,71.37,56,75,2.3,AU,1682548547
121,terrace bay,48.7834,-87.1,34.39,81,76,6.87,CA,1682548548
122,dulovo,43.8167,27.15,49.55,71,100,13.96,BG,1682548548
123,adrar,20.5022,-10.0711,85.19,10,0,7.92,MR,1682548548
124,vila franca do campo,37.7167,-25.4333,63.01,92,99,11.63,PT,1682548548
125,kargasok,59.0556,80.8572,33.13,92,100,7.4,RU,1682548420
126,salalah,17.0151,54.0924,84.29,84,40,2.3,OM,1682548548
127,puerto escondido,15.85,-97.0667,84.45,64,68,8.39,MX,1682548548
128,broken hill,-31.95,141.4333,69.93,36,10,21.59,AU,1682548548
129,nanortalik,60.1432,-45.2371,32.22,95,42,3.78,GL,1682548549
130,the pas,53.8251,-101.2541,39.22,87,100,4.61,CA,1682548549
131,melipilla,-33.7,-71.2167,60.39,76,100,4.56,CL,1682548549
132,roma,43.2128,-75.4557,50.83,80,20,0.0,US,1682548549
133,bethel,41.3712,-73.414,56.64,61,75,11.5,US,1682548523
134,nyurba,63.2842,118.3319,30.96,95,100,4.9,RU,1682548549
135,graham,47.0529,-122.2943,71.33,44,0,5.75,US,1682548549
136,sakakah,29.9697,40.2064,72.97,19,0,5.26,SA,1682548550
137,los llanos de aridane,28.6585,-17.9182,64.15,92,0,4.61,ES,1682548550
138,gravdal,68.1214,13.5031,36.93,71,100,5.93,NO,1682548550
139,comodoro rivadavia,-45.8667,-67.5,58.86,25,0,1.14,AR,1682548550
140,saint george,37.1041,-113.5841,80.26,20,0,6.91,US,1682548550
141,ouadda,8.0777,22.4007,69.12,93,96,3.65,CF,1682548550
142,ancud,-41.8697,-73.8203,49.77,89,97,1.21,CL,1682548550
143,laguna,38.421,-121.4238,88.75,22,0,5.75,US,1682548551
144,qostanay,53.1667,63.5833,50.29,57,0,11.18,KZ,1682548551
145,balakhta,55.38,91.6,28.42,81,62,5.44,RU,1682548551
146,hilo,19.7297,-155.09,85.28,67,0,11.5,US,1682548331
147,sassandra,4.95,-6.0833,77.0,90,100,5.61,CI,1682548551
148,klaksvik,62.2266,-6.589,34.72,80,94,9.82,FO,1682548551
149,havoysund,70.9963,24.6622,37.63,81,98,13.22,NO,1682548551
150,narsaq,60.9167,-46.05,43.02,89,74,1.92,GL,1682548552
151,haines junction,60.7522,-137.5108,39.15,45,100,3.44,CA,1682548552
152,maiduguri,11.8464,13.1603,90.57,10,9,6.73,NG,1682548552
153,cuamba,-14.8031,36.5372,60.91,95,5,2.1,MZ,1682548552
154,alta floresta,-9.8756,-56.0861,73.36,91,99,2.57,BR,1682548552
155,hasaki,35.7333,140.8333,57.6,52,42,15.55,JP,1682548270
156,cedar city,37.6775,-113.0619,66.4,30,0,9.22,US,1682548329
157,diego de almagro,-26.3667,-70.05,63.16,54,0,4.36,CL,1682548552
158,aklavik,68.2191,-135.0107,20.43,81,100,9.48,CA,1682548553
159,port blair,11.6667,92.75,82.26,78,85,7.02,IN,1682548553
